search key word,simplified video title,nickname of the person who uploaded the video,video identifier, video URL,Range
Hooligans violence,Football_hooligans_Reading_Swansea_1993,MrSmasherlad,9I7MpDQc82k ,http://www.youtube.com/watch?v=9I7MpDQc82k,1:25-1:28
Hooligans violence,Polish_Hooligans,tigardojaja,YLSsmo2Glyk ,http://www.youtube.com/watch?v=YLSsmo2Glyk,28-32
soccer violence,FENERBAHCE_ULTRAS_VS_COPS_VIOLENCE_RIOT,2maxpower1453,e7Bv5fTBqqI,http://www.youtube.com/watch?v=e7Bv5fTBqqI,42-46
balcony football violence,Football_Hooligans_Bury_v_Stockport_1998,MorningGlory1997,g6p_k37oWws,http://www.youtube.com/watch?v=g6p_k37oWws,40-44
balcony football violence,Football_Hooligans_Oxford_Utd_v_Aston_Villa_2002,MorningGlory1997,bWY8AQIFYXM,http://www.youtube.com/watch?v=bWY8AQIFYXM ,1:42-1:47
fans violence,FootBall_Fans_Violence,xxxXLsDXxxx,EaCpQJLdxJ8,http://www.youtube.com/watch?v=EaCpQJLdxJ8 ,20-24
fans violence,Football_Hooligans_Preston_North_End_Mix,prestonparasoccer,qwrOc8xmlpY ,http://www.youtube.com/watch?v=qwrOc8xmlpY ,27-31
fans violence,Hooligans_violence_in_stadiums_PART_1,yuossef5959,PPIP1AYJyXE ,http://www.youtube.com/watch?v=PPIP1AYJyXE,006-009
fans violence,IRAKLIS_FANS_OUTLAW,RESISTANCE1908,15XLSFN7mFs ,http://www.youtube.com/watch?v=15XLSFN7mFs,006-11
fans violence,Roma_vs_Man_United_Police_violence_DANISH_TV,7Anotnac7,gIfgEwL2QMo,http://www.youtube.com/watch?v=gIfgEwL2QMo,56-1:00
fans violence,Vanilla_Muffins_Chelsea_West_Ham_A_Look_At_Football_Violence,TheSicSociety,Qx0W0-0dDFQ ,http://www.youtube.com/watch?v=Qx0W0-0dDFQ,2:24-2:28
football fans,FootBall_Fans_Violence,xxxXLsDXxxx,EaCpQJLdxJ8,http://www.youtube.com/watch?v=EaCpQJLdxJ8 ,21-25
football fans,Football_Hooligans,ELGmedia,7by8qY2C258,http://www.youtube.com/watch?v=7by8qY2C258 ,51-55
football fans,World_football_compilation_ultras_players_hooligans_emotions,extremal28,aWWH2s1DSdQ,http://www.youtube.com/watch?v=aWWH2s1DSdQ ,6:33-6:37
football violence,Football_hooligans_fighting_in_Helsinki_WCQL_Finland_Russia,f43344,n3yajhkWI6w,http://www.youtube.com/watch?v=n3yajhkWI6w ,34-38
football violence,Football_Hooligans_Man_City_v_Man_United_1989,lancashirelads,r_gKMe0gt-o,http://www.youtube.com/watch?v=r_gKMe0gt-o,003-8
football violence,Football_Hooligans_Preston_North_End_Mix,prestonparasoccer,qwrOc8xmlpY ,http://www.youtube.com/watch?v=qwrOc8xmlpY,26-30
football violence,Football_Hooligans_QPR_v_Luton_St_Pancras,prestonparasoccer,DNL6VlA3hnQ ,http://www.youtube.com/watch?v=DNL6VlA3hnQ,17-23
football violence,Football_Hooligans_Russia_v_England_News_Report,prestonparasoccer,bXb1IT7gY8,http://www.youtube.com/watch?v=-bXb1IT7gY8,53-59
football violence,football_match_violence,mld0491,WL6AUKgOYSs,http://www.youtube.com/watch?v=WL6AUKgOYSs ,19-24
football violence,Football_Soccer_Hooligans_Movie_Scenes,mclarenfan04,KHP6fQdrFlE ,http://www.youtube.com/watch?v=KHP6fQdrFlE,3:52-3:55
football violence,Football_violence_3,reklamomand,SjUBX5K5QRo ,http://www.youtube.com/watch?v=SjUBX5K5QRo,19-22
football violence,Brannik_Football_Violence,Elbsturm1488,7NyYlQX-tiI,http://www.youtube.com/watch?v=7NyYlQX-tiI,2:16-2:21
football violence,FUCK_YOU_FOOTBALL_HOOLIGANS_FRENZY_PART1_SCOTLAND,W00FAM,Yy73oiTm1jU,http://www.youtube.com/watch?v=Yy73oiTm1jU,7:21-7:26
football violence,Hooligans_no_talk_just_fights_docu_part_04,haagsejef23,GcP3SiwkmGo ,http://www.youtube.com/watch?v=GcP3SiwkmGo,5:21-5:26
football violence,Roma_vs_Man_United_Police_violence_DANISH_TV,7Anotnac7,gIfgEwL2QMo,http://www.youtube.com/watch?v=gIfgEwL2QMo,45-50
Hooligans violence,Football_Hooligans_QPR_v_Luton_St_Pancras,prestonparasoccer,DNL6VlA3hnQ,http://www.youtube.com/watch?v=DNL6VlA3hnQ ,20-24
Hooligans violence,Russian_Hooligans_Zenit_St_Petersburg,LordXavior,iMjISeT72vQ ,http://www.youtube.com/watch?v=iMjISeT72vQ,2:43-2:47
audience violence,Riot_police_attack_peaceful_protesters_at_G20_Climate_Camp,bristlekrs,t244-zEENSs,http://www.youtube.com/watch?v=t244-zEENSs,1:40-1:43
balcony football violence,British_Football_Hooligans_Mix_1,MorningGlory1997,pn6CNLi3UhA,http://www.youtube.com/watch?v=pn6CNLi3UhA,012-015
balcony football violence,Football_Violence_Gais_AIK_2005,spliffpolitics,e4xiTNkfN0U ,http://www.youtube.com/watch?v=e4xiTNkfN0U,29-32
crowd violence,Violence_At_Upton_Park_25_08_09,JunaidNixamani,MgXe0isUnSg ,http://www.youtube.com/watch?v=MgXe0isUnSg,29-32
fans violence,Football_Violence_From_England_And_Netherlands,spliffpolitics,anRuF6MBO-s ,http://www.youtube.com/watch?v=anRuF6MBO-s ,21-24
fans violence,Violence_after_bball_game,shlomipr,WSFdO3em2I8 ,http://www.youtube.com/watch?v=WSFdO3em2I8,19-25
football violence,ardcore_hooligans,bigmunro60,9tkj8gtIoNM ,http://www.youtube.com/watch?v=9tkj8gtIoNM,16-21
football violence,A_Town_Called_Football_by_Nil_Satis,louderthanyourface,Ptvoh4L_FxY ,http://www.youtube.com/watch?v=Ptvoh4L_FxY,011-015
football violence,Brutal_fight_of_the_hooligans_in_Europe,CocaineBaron,ctbwtUZfhY4 ,http://www.youtube.com/watch?v=ctbwtUZfhY4,008-13
football violence,Football_Hooligans_Carlisle_v_Preston_1993,prestonparasoccer,JfLHSqKm9zg ,http://www.youtube.com/watch?v=JfLHSqKm9zg,1:05-1:10
football violence,Football_Hooligans_Finland_v_Russia_World_Cup_Qualifier_June_2009,lancashirelads,SmxsnplMtb8 ,http://www.youtube.com/watch?v=SmxsnplMtb8,2:33-2:37
football violence,Football_hooligans_Watford_Luton_2002,MrSmasherlad,ClZOLHYj_7Y ,http://www.youtube.com/watch?v=ClZOLHYj_7Y,1:42-1:47
football violence,Football_Violence_Gais_AIK_2005,spliffpolitics,e4xiTNkfN0U,http://www.youtube.com/watch?v=e4xiTNkfN0U ,30-33
football violence,Football_violence,lamufle,ucUm3sb39Cs ,http://www.youtube.com/watch?v=ucUm3sb39Cs,33-37
football violence,FUCK_YOU_FOOTBALL_HOOLIGANS_RUSSIA_and_UKRAINE_part1,W00FAM,DB9PSdrfulE,http://www.youtube.com/watch?v=DB9PSdrfulE,4:22-4:24
football violence,HOOLIGANS,mscs01,YWE3lKNm8aA,http://www.youtube.com/watch?v=YWE3lKNm8aA,011-13
football violence,Violence_and_fascism_in_Ukrainian_football,soroktri43,eG8qryFnv4k,http://www.youtube.com/watch?v=eG8qryFnv4k,1:15-1:20
group violence,football_violence,aliiie,qfKD35PYwok,http://www.youtube.com/watch?v=qfKD35PYwok,1:37-1:40
Hooligans violence,Croatia_Hooligans,EXB04,JQrSRtqoU_I,http://www.youtube.com/watch?v=JQrSRtqoU_I,5:26-5:32
Hooligans violence,Football_Hooligans_Carlisle_v_Preston_1993,prestonparasoccer,JfLHSqKm9zg,http://www.youtube.com/watch?v=JfLHSqKm9zg,1:03-1:09
Hooligans violence,Football_Hooligans_Finland_v_Russia_World_Cup_Qualifier_June_2009,lancashirelads,SmxsnplMtb8,http://www.youtube.com/watch?v=SmxsnplMtb8 ,1:21-1:25
Hooligans violence,FOOTBALL_HOOLIGANS_WEST_HAM_v_MILLWALL_AUGUST_2009_LONGER_VERSION,W00FAM,ttgXsReLKjc,http://www.youtube.com/watch?v=ttgXsReLKjc,32-37
Hooligans violence,Hooligans_war_in_Russian_vk,artemorlik,6UNj6fEgz8U ,http://www.youtube.com/watch?v=6UNj6fEgz8U,37-42
soccer violence,HOOLIGANS,mscs01,YWE3lKNm8aA,http://www.youtube.com/watch?v=YWE3lKNm8aA,008-12
soccer violence,Soccer_Hooligans_Clash_Unbelievable_Rumble,OrionEdWood,8DCP_E_J8A0 ,http://www.youtube.com/watch?v=8DCP_E_J8A0,1:10-1:14
balcony football violence,Football_Hooligans_Leeds_v_Wolves_2005,MorningGlory1997,f66MTrNLPL0 ,http://www.youtube.com/watch?v=f66MTrNLPL0,42-47
balcony football violence,Football_Hooligans_Watford_v_Luton_2002_Version_1,MorningGlory1997,vLOTaR9eMlg ,http://www.youtube.com/watch?v=vLOTaR9eMlg,28-32
balcony football violence,Football_Hooligans_Watford_v_Luton_2002_Version_2,MorningGlory1997,1XbY1Sr2Obw ,http://www.youtube.com/watch?v=1XbY1Sr2Obw,59-1:04
crowd violence,Crowd_Violence_Control_techniques,mackevster,wkva5YERsRg ,http://www.youtube.com/watch?v=mackevster,4:24-4:27
crowd violence,FooTBaLL_Violence,dyster8,iN4kiCHg2S4,http://www.youtube.com/watch?v=iN4kiCHg2S4 ,18-21
crowd violence,Rostock_Anti_G8_Demo_Police_Violence,erikaransom,f185olt6W4I ,http://www.youtube.com/watch?v=f185olt6W4I,21-25
fans violence,English_Hooligans_vs_Turkey_Ultras,Vandal83,J8S2-pGz8ao ,http://www.youtube.com/watch?v=J8S2-pGz8ao,4:03-4:07
fans violence,Football_Hooligans_Watford_v_Luton_2002_Version_1,MorningGlory1997,vLOTaR9eMlg,http://www.youtube.com/watch?v=vLOTaR9eMlg ,1:39-1:43
football violence,Football_Hooligans_Leeds_v_Wolves_2005,MorningGlory1997,f66MTrNLPL0 ,http://www.youtube.com/watch?v=f66MTrNLPL0,40-45
football violence,Football_Hooligans_Watford_v_Luton_2002_Version_1,MorningGlory1997,vLOTaR9eMlg ,http://www.youtube.com/watch?v=vLOTaR9eMlg,29-34
football violence,project_d_football_violence,henkiejwt,MFDeI2bK2Pk ,http://www.youtube.com/watch?v=MFDeI2bK2Pk,34-40
Hooligans violence,Football_Hooligans_Preston_V_Bradford_2003,eliteborg,NLtW_TzoQm4 ,http://www.youtube.com/watch?v=NLtW_TzoQm4,3:31-3:35
Hooligans violence,FUCK_YOU_FOOTBALL_HOOLIGANS_RUSSIA_and_UKRAINE_part1,W00FAM,DB9PSdrfulE,http://www.youtube.com/watch?v=DB9PSdrfulE ,9:16-9:20
Hooligans violence,Hooligans_Untold_Story_Part_2,UltrasHooligansFilms,BXBtZwzv3EI ,http://www.youtube.com/watch?v=BXBtZwzv3EI,8:05-8:09
Hooligans violence,Koudlam_See_you_All,panrecord,nFWgiZxnz7o,http://www.youtube.com/watch?v=nFWgiZxnz7o ,25-30
soccer violence,Chinese_kungfu_soccer,crazyzibe,Gsrc7AXC_kI ,http://www.youtube.com/watch?v=Gsrc7AXC_kI,16-21
soccer violence,Football_Hooligans_Preston_North_End_Mix,prestonparasoccer,qwrOc8xmlpY,http://www.youtube.com/watch?v=qwrOc8xmlpY,25-28
soccer violence,Football_riots,madlu,OpgL3ZlF-gg,http://www.youtube.com/watch?v=OpgL3ZlF-gg,1:20-1:23
soccer violence,FOOTBALL_WARS,negronera18,JRyQYbq9Zr4,http://www.youtube.com/watch?v=JRyQYbq9Zr4,2:39-2:42
soccer violence,hu_hu_hu_hooligans,misom0000,w_p6cBeTHkg,http://www.youtube.com/watch?v=w_p6cBeTHkg,30-32
soccer violence,SCC_gets_owned_by_real_football_fans,JayFCAK47,32N5pojPfV8,http://www.youtube.com/watch?v=32N5pojPfV8,13-18
stadium violence,Panathinaikos_Olympiakos_96_97_riots,GWF13,xW_LC_siwQo,http://www.youtube.com/watch?v=xW_LC_siwQo,001-006
stadium violence,soccer_riot_compilation,qqcolaman,URwiZLZipeg,http://www.youtube.com/watch?v=URwiZLZipeg,21-22
stadium violence,Barras_Argentinas,alebb77,en5llVbjq20,http://www.youtube.com/watch?v=en5llVbjq20,2:28-2:31
fans violence,Hardcore_Supporter_Fight_Extreme_Violence_Final_Four_Volley_Praha,javierulf,jzmiAbjN6Mw,http://www.youtube.com/watch?v=jzmiAbjN6Mw ,36-40
fans violence,THE_BEST_HOOLIGANS_Los_hinchas_ultras_barra_torcida_fans_fanaticos_mas_peligrosos_del_mundo,14guille666,wutK9msi4yo,http://www.youtube.com/watch?v=wutK9msi4yo,26-30
fans violence,Violence_in_Soccer_Stadiums_The_Hooligan_Syndrome,evanese1,x2kcIpal3U,http://www.youtube.com/watch?v=x2kcIpal3U,2:14-2:17
football violence,Brutal_fight_of_the_hooligans_in_Europe_Switzerland,CocaineBaron,VmPNqxBRRIQ ,http://www.youtube.com/watch?v=VmPNqxBRRIQ,55-1:02
football violence,Danish_Hooligans_Exclusive_video,MosquitoTheRapist,t9IYNex9Nn4 ,http://www.youtube.com/watch?v=t9IYNex9Nn4,1:21-1:27
football violence,English_Football_Hooligans_Euro_2000,MorningGlory1997,6xAQGS0fodE ,http://www.youtube.com/watch?v=6xAQGS0fodE,4:58-5:01
football violence,english_football_hooligans,ohnoherewego1234,ydTykaGO-Dg ,http://www.youtube.com/watch?v=ydTykaGO-Dg,005-008
football violence,English_Hooligans,JohnLaw,Wob3r1Leamw ,http://www.youtube.com/watch?v=Wob3r1Leamw,25-30
football violence,Footballs_Blood_Sport_prt_1,Tramppercy,WSCF2iLuRyk ,http://www.youtube.com/watch?v=WSCF2iLuRyk,1:25-1:29
football violence,Football_Factory_PV_by_Daryl_T_Fave_Films_Clips,LogicBomb777,vnwttRPHdnw,http://www.youtube.com/watch?v=vnwttRPHdnw ,1:30-1:35
football violence,Football_Hooligans_Cardiff_v_Barnsley_2003,MorningGlory1997,mSS7490HcJI,http://www.youtube.com/watch?v=mSS7490HcJI ,2:09-2:13
football violence,Football_Hooligans_Germany_v_Poland_Euro_2008,MorningGlory1997,gtaGluIXEaU,http://www.youtube.com/watch?v=gtaGluIXEaU ,22-26
football violence,Football_Hooligans_Manchester_City_v_Manchester_United_1989,foothool,ISt-Ir7bb3Y ,http://www.youtube.com/watch?v=ISt-Ir7bb3Y,007-10
football violence,Football_Hooligans_Millwall_Compilation,MorningGlory1997,U-CsDQik3sw ,http://www.youtube.com/watch?v=U-CsDQik3sw,2:15-2:19
football violence,Hooligans_no_talk_just_fights_docu_part_09,haagsejef23,kRlCAD-3H40,http://www.youtube.com/watch?v=kRlCAD-3H40 ,0-3
Hooligans violence,English_Hooligans,JohnLaw,Wob3r1Leamw ,http://www.youtube.com/watch?v=Wob3r1Leamw,17-22
Hooligans violence,Footballs_Blood_Sport_prt2,Tramppercy,P9a6qZ3r90k,http://www.youtube.com/watch?v=P9a6qZ3r90k,14:46-14:50
Hooligans violence,Football_Hooligans_Germany_v_Poland_Euro_2008,MorningGlory1997,gtaGluIXEaU,http://www.youtube.com/watch?v=gtaGluIXEaU ,23-27
Hooligans violence,Fuck_police_Let_s_riot,tigerland2222,Q2k-ZHCZBAk,http://www.youtube.com/watch?v=Q2k-ZHCZBAk,13-19
Hooligans violence,BRANNIK_football_violence,KD666999,YTqe4xf5o6U,http://www.youtube.com/watch?v=YTqe4xf5o6U,1:35-1:40
Hooligans violence,I_D_Trailer,ImLonelyLinda,5Y26VMm4L7o,http://www.youtube.com/watch?v=5Y26VMm4L7o,45-46
Hooligans violence,The_Best_Fans_in_the_World_Part_4_Hooligans,crvenobeli,3mXS25xDG6I,http://www.youtube.com/watch?v=3mXS25xDG6I,2:13-2:17
Hooligans violence,Torcida_do_Flamengo_x_PM_na_Final_da_Copa_do_Brasil,craigrj,kKqRHHQeffU,http://www.youtube.com/watch?v=kKqRHHQeffU,48-51
soccer violence,MORTAL_SOCCER_Part_2,sha3booola,H6iKYprpB30 ,http://www.youtube.com/watch?v=H6iKYprpB30,2:44-2:48
